ep,succ,rsn,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
2003,1,timeout,15.0,0.211963951587677,0.07693984359502792,0.003618679940700531,0.007063092663884163,0.008357829717508135,0.10854572802782059,148.5,346.19464111328125
2004,1,timeout,15.0,0.2298709601163864,0.07766793668270111,0.0032343717757612467,0.0076042101718485355,0.007796077067813517,0.10294471681118011,146.5,348.4980773925781
2005,1,timeout,15.0,0.235016331076622,0.07593405991792679,0.009108243510127068,0.006943374872207642,0.010302648410898955,0.10495185852050781,149.5,345.8203125
2006,1,timeout,15.0,0.1319531947374344,0.054085809737443924,0.0020631570369005203,0.006277942564338446,0.006004951159827174,0.10791510343551636,149.25,381.011962890625
2007,1,timeout,15.0,0.16071662306785583,0.0611908920109272,0.022573396563529968,0.008569258265197277,0.0066140748474122785,0.10533631592988968,148.0,356.2693786621094
2008,1,timeout,15.0,0.13269929587841034,0.04702562093734741,0.004870619624853134,0.007402712479233742,0.006041281941786974,0.1018359512090683,149.75,383.8980407714844
2009,1,timeout,15.0,0.12768229842185974,0.050614845007658005,0.008923245593905449,0.007334536872804165,0.005540841551686506,0.10225992649793625,149.75,382.4403076171875
2010,1,timeout,15.0,0.11249233782291412,0.05666700750589371,0.026758801192045212,0.008589038625359535,0.006818554903763475,0.10327798873186111,149.5,366.82037353515625
2011,1,timeout,15.0,0.14691582322120667,0.06165951490402222,0.002921067178249359,0.007645750418305397,0.006361844781493756,0.10568597912788391,147.25,368.06268310546875
2012,1,timeout,15.0,0.10714633762836456,0.06059389188885689,0.02407958172261715,0.010401230305433273,0.007049080237082709,0.10336195677518845,148.0,353.3595275878906
2013,1,timeout,15.0,0.23439383506774902,0.06855688244104385,0.019969705492258072,0.008741600438952446,0.009537567679349677,0.1152103990316391,147.25,343.70037841796875
2014,1,timeout,15.0,0.22554786503314972,0.08437105268239975,0.005171529483050108,0.007264998741447926,0.008090886385621216,0.10298927128314972,148.25,343.4267578125
2015,1,timeout,15.0,0.21773871779441833,0.07621543109416962,0.007942106574773788,0.007676605135202408,0.008539979387025793,0.10344015061855316,147.5,348.3084411621094
2016,1,timeout,15.0,0.2536928057670593,0.08661922812461853,0.0074949003756046295,0.006490245461463928,0.008820335577994116,0.10598602145910263,148.75,338.2136535644531
2017,1,timeout,15.0,0.24491772055625916,0.08876381814479828,0.01113826036453247,0.007726234849542379,0.009576445120525077,0.1071789562702179,148.25,335.3936767578125
2018,1,timeout,15.0,0.14368771016597748,0.054463762789964676,0.009621109813451767,0.007393145468086004,0.007113819968037073,0.10510575771331787,149.75,367.7186584472656
2019,1,timeout,15.0,0.13250556588172913,0.050328463315963745,0.020051080733537674,0.006620375439524651,0.005999185151543788,0.101996511220932,149.75,371.16387939453125
2020,1,timeout,15.0,0.23784239590168,0.07851900160312653,0.0030578486621379852,0.006620022002607584,0.009964828224398625,0.10209405422210693,148.25,352.1310119628906
2021,1,timeout,15.0,0.11568104475736618,0.056919366121292114,0.016989121213555336,0.007915799506008625,0.0072269184130928366,0.1036718562245369,147.75,361.5652770996094
2022,1,timeout,15.0,0.17738263309001923,0.0690951943397522,0.01334102638065815,0.007095523178577423,0.008233279427576333,0.10337033122777939,151.0,352.391845703125
2023,1,timeout,15.0,0.13653352856636047,0.0550389289855957,0.005430432036519051,0.006778148002922535,0.005202608953552796,0.10331983864307404,148.25,374.8902282714844
2024,1,timeout,15.0,0.18407897651195526,0.06407798081636429,0.012754973024129868,0.008497876115143299,0.008010065314895426,0.10502029210329056,148.5,357.6081848144531
2025,1,timeout,15.0,0.10044851154088974,0.0693763792514801,0.0091941487044096,0.01033544447273016,0.007133541996832106,0.11680427938699722,143.75,346.6305236816406
2026,1,timeout,15.0,0.11950810253620148,0.05828072875738144,0.012471930123865604,0.008701186627149582,0.005984555902687495,0.10649169236421585,149.75,364.96923828125
2027,1,timeout,15.0,0.20815986394882202,0.06936801224946976,0.006396077573299408,0.006924753542989492,0.007671951357463618,0.10234205424785614,150.75,358.06134033203125
2028,1,timeout,15.0,0.17951954901218414,0.06787583231925964,0.024897098541259766,0.007319780997931957,0.008822383524293346,0.10309421271085739,149.75,348.79327392578125
2029,1,timeout,15.0,0.2369595170021057,0.07463093847036362,0.010688639245927334,0.007575419265776873,0.008599579515174186,0.10506361722946167,149.0,350.3164978027344
